	impact	impact_unit	stressor	factor
283493	Freshwater sedimental ecotoxicity (FSETP100) | Problem oriented approach: non baseline (CML, 1999) | FSETP 100 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Hg - non combustion - Refined lead, unwrought - air	150.3895865
283494	Freshwater sedimental ecotoxicity (FSETP100) | Problem oriented approach: non baseline (CML, 1999) | FSETP 100 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	HCB - non combustion - Secondary aluminium production - air	4.261074826
283495	Freshwater sedimental ecotoxicity (FSETP100) | Problem oriented approach: non baseline (CML, 1999) | FSETP 100 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Hg - non combustion - Steel production: basic oxygen furnace - air	150.3895865
283496	Freshwater sedimental ecotoxicity (FSETP100) | Problem oriented approach: non baseline (CML, 1999) | FSETP 100 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Hg - non combustion - Steel production: electric arc furnace - air	150.3895865
283497	Freshwater sedimental ecotoxicity (FSETP100) | Problem oriented approach: non baseline (CML, 1999) | FSETP 100 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Hg - non combustion - Unrefined copper; copper anodes for electrolytic refining - air	150.3895865
283498	Freshwater sedimental ecotoxicity (FSETP100) | Problem oriented approach: non baseline (CML, 1999) | FSETP 100 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Hg - non combustion - Zinc, unwrought, not alloyed - air	150.3895865
283499	Freshwater sedimental ecotoxicity (FSETP100) | Problem oriented approach: non baseline (CML, 1999) | FSETP 100 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Indeno - non combustion - Primary aluminium production - air	532.3569665
283500	Freshwater sedimental ecotoxicity (FSETP100) | Problem oriented approach: non baseline (CML, 1999) | FSETP 100 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Indeno - non combustion - Production of coke oven coke - air	532.3569665
283501	Freshwater sedimental ecotoxicity (FSETP100) | Problem oriented approach: non baseline (CML, 1999) | FSETP 100 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Indeno - non combustion - Production of gascoke - air	532.3569665
283572	Freshwater sedimental ecotoxicity (FSETP100) | Problem oriented approach: non baseline (CML, 1999) | FSETP 100 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Ni - non combustion - Agglomeration plant - pellets - air	178.3826184
283573	Freshwater sedimental ecotoxicity (FSETP100) | Problem oriented approach: non baseline (CML, 1999) | FSETP 100 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Ni - non combustion - Agglomeration plant - sinter - air	178.3826184
283574	Freshwater sedimental ecotoxicity (FSETP100) | Problem oriented approach: non baseline (CML, 1999) | FSETP 100 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Ni - non combustion - Glass production - air	178.3826184
283575	Freshwater sedimental ecotoxicity (FSETP100) | Problem oriented approach: non baseline (CML, 1999) | FSETP 100 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Ni - non combustion - Production of coke oven coke - air	178.3826184
283576	Freshwater sedimental ecotoxicity (FSETP100) | Problem oriented approach: non baseline (CML, 1999) | FSETP 100 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Ni - non combustion - Production of gascoke - air	178.3826184
283577	Freshwater sedimental ecotoxicity (FSETP100) | Problem oriented approach: non baseline (CML, 1999) | FSETP 100 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Ni - non combustion - Steel production: basic oxygen furnace - air	178.3826184
283578	Freshwater sedimental ecotoxicity (FSETP100) | Problem oriented approach: non baseline (CML, 1999) | FSETP 100 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Ni - non combustion - Steel production: electric arc furnace - air	178.3826184
283579	Freshwater sedimental ecotoxicity (FSETP100) | Problem oriented approach: non baseline (CML, 1999) | FSETP 100 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Ni - non combustion - Steel production: open hearth furnace - air	178.3826184
283592	Freshwater sedimental ecotoxicity (FSETP100) | Problem oriented approach: non baseline (CML, 1999) | FSETP 100 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	PCDD/F - non combustion - Agglomeration plant - pellets - air	6826282.345
283593	Freshwater sedimental ecotoxicity (FSETP100) | Problem oriented approach: non baseline (CML, 1999) | FSETP 100 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	PCDD/F - non combustion - Agglomeration plant - sinter - air	6826282.345
283594	Freshwater sedimental ecotoxicity (FSETP100) | Problem oriented approach: non baseline (CML, 1999) | FSETP 100 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	PCDD/F - non combustion - Pig iron production, blast furnace - air	6826282.345
